Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16066;Mulhouse Sud 2;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;40.2;40.225;µg-m3;100.0;100;100.0;A;1;47.737415;7.309075
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR16302;Donon Vosges Moyennes 2;Rurale nationale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;84.3;84.275;µg-m3;100.0;100;100.0;A;1;48.492992;7.1298
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO HAUTS DE FRANCE;FR32ZAR02;ZAR AMIENS;FR18035;Salouel;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;52.6;52.625;µg-m3;100.0;100;100.0;A;1;49.86889;2.239806
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18039;Arrest;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;53.2;53.15;µg-m3;100.0;100;100.0;A;1;50.129448;1.610833
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18042;P. Roth St Quentin;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;37.6;37.575;µg-m3;100.0;100;100.0;A;1;49.851334;3.284
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO HAUTS DE FRANCE;FR32ZAR03;ZAR CREIL;FR18043;Faiencerie Creil;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;27.7;27.65;µg-m3;100.0;100;100.0;A;1;49.259552;2.474397
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO HAUTS DE FRANCE;FR32ZAR02;ZAR AMIENS;FR18053;St Pierre Amiens;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.2;38.15;µg-m3;100.0;100;100.0;A;1;49.901667;2.304597
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18057;Neuilly-Saint-Front;Rurale régionale;O3;Fond;Oui;mesures indicatives;Max. journalier moy. hor.;43.7;43.675;µg-m3;100.0;100;100.0;A;1;49.174931;3.260819
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19012;Brest Mace;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.5;58.45;µg-m3;100.0;100;100.0;A;1;48.38618;-4.4866
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19016;BREST Plouzané;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.8;60.775;µg-m3;100.0;100;100.0;A;1;48.359444;-4.568055
